UUU  0 ns
#1
U0U  3.957996 ns
U01  4.994801 ns
101  502.257583 ns
111  503.861753 ns
110  505.231117 ns
010  601.391554 ns
110  602.035877 ns
111  602.356099 ns
011  602.945605 ns
001  604.47778 ns
000  605.847144 ns
100  701.391554 ns
110  702.257583 ns
111  702.356099 ns
011  702.945605 ns
111  801.391554 ns
011  802.035877 ns
010  901.446371 ns
000  902.901906 ns
100  1001.391554 ns
110  1002.257583 ns
100  1003.861753 ns
101  1005.231117 ns
001  1101.391554 ns
101  1102.035877 ns
100  1102.356099 ns
000  1102.945605 ns
010  1104.47778 ns
011  1105.847144 ns
111  1301.391554 ns
011  1302.035877 ns
010  1302.356099 ns
110  1302.945605 ns
100  1304.47778 ns
101  1305.847144 ns
100  1401.446371 ns
110  1402.901906 ns
010  1501.391554 ns
000  1502.257583 ns
001  1502.356099 ns
101  1502.945605 ns
#24
111  201.804992 ns
110  203.420694 ns
100  204.534638 ns
000  205.172803 ns
010  303.475318 ns
011  303.61838 ns
111  304.113483 ns
011  304.423958 ns
001  401.804992 ns
011  403.912815 ns
001  503.475318 ns
011  503.912815 ns
111  504.113483 ns
110  505.528517 ns
100  601.804992 ns
101  603.420694 ns
100  603.61838 ns
000  604.423958 ns
010  703.475318 ns
011  703.61838 ns
111  704.113483 ns
011  704.423958 ns
001  801.804992 ns
011  803.912815 ns
001  901.804992 ns
011  903.912815 ns
010  904.367225 ns
000  904.534638 ns
010  1003.475318 ns
000  1003.912815 ns
100  1004.113483 ns
101  1005.528517 ns
111  1101.804992 ns
110  1103.420694 ns
111  1103.61838 ns
011  1104.423958 ns
001  1301.804992 ns
000  1303.420694 ns
001  1303.61838 ns
101  1304.423958 ns
111  1401.804992 ns
101  1403.912815 ns
100  1404.367225 ns
110  1404.534638 ns
100  1503.475318 ns
101  1503.61838 ns
001  1504.113483 ns
101  1504.423958 ns
#25
111  202.212458 ns
110  202.311579 ns
010  202.316361 ns
000  204.570326 ns
100  302.221256 ns
000  303.571932 ns
010  304.475221 ns
011  305.592979 ns
111  502.221256 ns
101  502.423732 ns
100  502.522853 ns
110  504.475221 ns
100  602.212458 ns
101  602.311579 ns
001  603.571932 ns
000  605.592979 ns
100  702.221256 ns
000  703.571932 ns
010  704.475221 ns
011  705.592979 ns
010  904.337408 ns
000  904.570326 ns
100  1002.221256 ns
110  1002.423732 ns
111  1002.522853 ns
101  1004.475221 ns
111  1102.212458 ns
110  1102.311579 ns
010  1103.571932 ns
011  1105.592979 ns
001  1302.212458 ns
000  1302.311579 ns
100  1303.571932 ns
101  1305.592979 ns
100  1404.337408 ns
110  1404.570326 ns
010  1502.221256 ns
